SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-7006,1,202312,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12/02/2023,24th Street at Osage Street,94110
30270-6907,1,202312,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12/26/2023,E. 1st Avenue near N. Scottsdale Road,85251
30270-6906,1,202312,PHOENIX,Secondary Crash,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,12/23/2023,N. 44th Street and Washington Street,85008
30270-6901,1,202312,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12/20/2023,N. 28th Street at E. Pinchot Avenue,85016
30270-6883,1,202312,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,12/13/2023,N. Scottsdale Road at E. Chaparral Road,85253
30270-6879,1,202312,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,12/12/2023,Gough Street at Ellis Street,94109
30270-6878,1,202312,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,12/11/2023,E. Van Buren Street at N. 36th Street,85008
30270-6855,1,202311,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,11/09/2023,Stockton Street near O'Farrell Street,94102
30270-6854,1,202311,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,11/08/2023,1949 E. University Drive,85288
30270-6838,1,202311,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,11/03/2023,135 W. Orion Street,85283
30270-6765,1,202311,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,11/30/2023,Hayden Road and McDowell Road,85257
30270-6579,2,202311,SAN_FRANCISCO,Secondary Crash,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,11/03/2023,Folsom Street at 11th Street,94103
30270-6668,1,202310,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10/30/2023,S. Terrace Road at E. Lemon Street,85281
30270-6667,1,202310,SAN_FRANCISCO,V2V F2R,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10/29/2023,Marin Street near Michigan Street,94124
30270-6666,1,202310,SAN_FRANCISCO,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10/28/2023,Avila Street near Rico Way,94123
30270-6664,1,202310,PHOENIX,V2V Intersection,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10/21/2023,44 N. 44th Street,85008
30270-6663,1,202310,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10/10/2023,Bluxome Street at 4th Street,94107
30270-6662,1,202310,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10/07/2023,Van Ness Avenue at Lombard Street,94109
30270-6661,1,202310,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10/04/2023,Fremont Street at Mission Street,94105
30270-6566,1,202310,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10/28/2023,N. Dobson Road near W. Warner Road,85224
30270-6561,1,202310,PHOENIX,Single Vehicle,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10/26/2023,Parking lot driveway at Central High School,85012
30270-6548,1,202310,PHOENIX,Single Vehicle,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10/19/2023,S. Central Avenue near E. Grant Street,85004
30270-6542,1,202310,PHOENIX,V2V F2R,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10/10/2023,Hayden Road near E. Wilshire Drive,85257
30270-6385,2,202310,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10/01/2023,15th Street near Sanchez Street,94114
30270-6521,1,202309,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,09/30/2023,North 9th Avenue at Grand Avenue,85007
30270-6520,1,202309,PHOENIX,V2V Intersection,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,09/30/2023,Scottsdale Road at Camelback Road,85251
30270-6519,1,202309,PHOENIX,V2V Backing,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,09/29/2023,North 2nd Street at East McKinley Street,85004
30270-6518,1,202309,SAN_FRANCISCO,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,09/27/2023,24th Street at Ortega Street,94122
30270-6517,1,202309,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,09/20/2023,Divisadero Street and McAllister Street,94115
30270-6516,1,202309,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,09/09/2023,Rural Road at South Terrance Road,85281
30270-6515,1,202309,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,09/07/2023,Florida Street at Mariposa Street,94110
30270-6514,1,202309,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,09/01/2023,Divisadero Street at Hayes Street,94117
30270-6405,1,202309,SAN_FRANCISCO,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,09/29/2023,Haight Street at Laguna Street,94102
30270-6368,1,202309,PHOENIX,V2V Lateral,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,09/17/2023,E. Minton Drive near Rural Road,85282
30270-6352,1,202309,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,09/12/2023,19th Street at Tennessee Street,94107
30270-6347,1,202308,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,08/24/2023,Michigan Ave and Euclid St,90404
30270-6346,1,202308,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,08/23/2023,Bay St and Mason St,94133
30270-6342,1,202308,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,08/17/2023,Bayshore Blvd and Costa Street,94124
30270-6341,1,202308,SAN_FRANCISCO,All Others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,08/16/2023,Bryant Street at 2nd Street,94107
30270-6338,1,202308,PHOENIX,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,08/08/2023,W McKinley St and N 5th Av,85003
30270-6337,1,202308,PHOENIX,V2V F2R,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,08/07/2023,South Sycamore at South Cholla,85202
30270-6336,1,202308,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,08/02/2023,Bush St and Polk St,94109
30270-6335,1,202308,PHOENIX,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,08/01/2023,E Oak and N 46th Street,85008
30270-6198,1,202308,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,08/30/2023,Camelback Road at North 17th Street,85015
30270-6150,1,202308,PHOENIX,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,08/14/2023,7th Street at E. Van Buren St,85034
30270-6149,2,202308,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,08/17/2023,Apache Boulevard near S. Rural Road,85281
30270-6133,1,202307,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,07/22/2023,13th Street east of Folsom St,94103
